countyCode,lossOnly,hyperCount,disasterCount,totalMultiLossProp,countUncluster,Risk_Score,Risk_Category
12133,42471.885259031405,0.0,1060.0,19.0,45.0,1.3263896291911144,higher
13007,5952.703201764329,0.0,158.0,5.0,23.0,1.0353424273750398,medium
13275,-0.0,0.0,115.0,8.0,40.0,0.3916896075238726,lower
21005,-0.0,0.0,40.0,4.0,33.0,0.3215085202329999,lower
21185,225205.75791716413,0.0,54.0,222.0,79.0,1.4223918236172655,higher
13057,-0.0,0.0,569.0,6.0,18.0,0.42859700990295374,lower
38065,-0.0,0.0,8.0,0.0,7.0,0.15831969802525878,lower
26133,11069.065024595518,0.0,0.0,5.0,16.0,0.853046161715023,medium
47109,-0.0,0.0,174.0,1.0,13.0,0.326596800697788,lower
53001,-0.0,0.0,0.0,0.0,2.0,0.03352162640859045,lowest
22101,-0.0,379.0,9017.0,355.0,256.0,1.2867465078125186,higher
50007,-0.0,18.0,361.0,14.0,74.0,0.7383125450509971,medium
22057,-0.0,824.0,16197.0,703.0,247.0,1.4026345213208038,higher
19139,-0.0,0.0,278.0,55.0,115.0,0.5221630170592139,medium
12113,9866737.390633281,4002.0,32997.0,1517.0,149.0,2.8068159408670637,highest
18101,-0.0,0.0,70.0,1.0,9.0,0.2773795783571693,lower
21203,-0.0,0.0,73.0,3.0,18.0,0.3218214689790658,lower
21223,-0.0,0.0,58.0,0.0,15.0,0.26065640683999264,lower
13055,27319.724044187256,0.0,74.0,5.0,21.0,1.115916542286868,medium
45033,46470.919409154216,0.0,1975.0,25.0,20.0,1.3448782053129507,higher
37103,581192.8907030232,0.0,1089.0,46.0,13.0,1.5183160762755543,higher
20131,-0.0,0.0,0.0,0.0,2.0,0.03352162640859045,lowest
13087,-0.0,0.0,801.0,24.0,21.0,0.4901827635891264,lower
18177,-0.0,0.0,53.0,8.0,45.0,0.36218702010429965,lower
21009,-0.0,0.0,58.0,1.0,12.0,0.277391061562777,lower
31093,-0.0,0.0,54.0,0.0,5.0,0.22769742526968154,lower
06005,-0.0,0.0,0.0,5.0,28.0,0.16238112543886282,lower
20031,-0.0,0.0,14.0,0.0,3.0,0.15922600070927817,lower
